,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
16,16,484.7927954999999,2025-02-13 07:11:08.250890,2025-02-13 07:12:20.611614,0 days 00:01:12.360724,tanh,256,0.18376551791065143,0.06683995550202472,0.9050137739800908,0.9846393255010251,5.1173363732802686e-05,1.4951097534120836,10,10,small,0.031763299882699755,0.3212088083073767,COMPLETE
17,17,-357795.8253821,2025-02-13 07:12:20.613804,2025-02-13 07:13:11.352337,0 days 00:00:50.738533,relu,256,0.15967544540053302,0.022325188962613745,0.9483687416862524,0.9900265830618931,0.0002081853185091791,1.1277372446352683,11,10,tiny,0.048260142065522586,0.6271626931111851,COMPLETE
18,18,519.1988387,2025-02-13 07:13:11.354180,2025-02-13 07:14:14.615291,0 days 00:01:03.261111,tanh,256,0.163001544884945,0.07200352162736634,0.98588151070598,0.9891679705127516,0.00012529753888147074,1.7570337669676173,8,10,tiny,0.045988094651588325,0.4561159556279894,COMPLETE
19,19,-1068.7086555,2025-02-13 07:14:14.617216,2025-02-13 07:15:08.643288,0 days 00:00:54.026072,relu,256,0.18550383403709725,0.05112737656583101,0.9505382668520413,0.998928417784689,0.0002990065401792782,1.3387853913416223,9,12,small,0.02064597593793322,0.5200732613888995,COMPLETE
20,20,63.687138999999966,2025-02-13 07:15:08.644973,2025-02-13 07:16:03.385466,0 days 00:00:54.740493,relu,256,0.20400212684594973,0.11563008196688233,0.9689560907882078,0.9797608331004244,0.0006824265809178775,1.080492255590243,10,10,tiny,0.09863806861373235,0.5549582580978178,COMPLETE
21,21,475.1642527,2025-02-13 07:16:03.386946,2025-02-13 07:17:00.646472,0 days 00:00:57.259526,tanh,1024,0.21767165198692492,0.00991297422520043,0.915209784033075,0.9721947344809596,7.837286269233658e-05,0.7862676190569475,9,11,tiny,0.06916943916303184,0.3473223546840421,COMPLETE
22,22,529.6986849000001,2025-02-13 07:17:00.648259,2025-02-13 07:18:17.267777,0 days 00:01:16.619518,tanh,128,0.23032836653030297,0.020226019417008717,0.9247547530011239,0.9721014108729964,6.972264097569085e-05,0.9380975718857265,9,11,tiny,0.0877504670398545,0.36724147923570094,COMPLETE
23,23,502.54292540000006,2025-02-13 07:18:17.270029,2025-02-13 07:19:19.654347,0 days 00:01:02.384318,tanh,512,0.2450918310640241,0.007523430476168061,0.9124547972709579,0.9630827693031488,0.00010266687865122613,0.5935300825062677,8,12,tiny,0.05058487577977349,0.4256930092344129,COMPLETE
24,24,633.2983448,2025-02-13 07:19:19.657425,2025-02-13 07:20:57.235946,0 days 00:01:37.578521,tanh,64,0.16444760158229166,0.002587665085795373,0.9271437932278536,0.9767375159974524,0.0001335717201350842,0.7465235342675002,9,10,tiny,0.11818669317065951,0.392894669584381,COMPLETE
25,25,533.7823087999999,2025-02-13 07:20:57.238042,2025-02-13 07:22:38.397341,0 days 00:01:41.159299,tanh,64,0.16165837917074607,0.002496892128755393,0.9336759417729497,0.979426738347128,0.00018131723125812315,1.1402412268064994,10,10,tiny,0.12252977112844615,0.3273597633410337,COMPLETE
26,26,461.1413656,2025-02-13 07:22:38.399224,2025-02-13 07:24:15.846752,0 days 00:01:37.447528,tanh,64,0.16681468233908625,0.002894843348205826,0.928516507034739,0.9868967294863507,0.00013007667731791515,1.5387912368945278,8,10,small,0.14401050462066617,0.6321243795369852,COMPLETE
27,27,331.59951,2025-02-13 07:24:15.849336,2025-02-13 07:25:58.639338,0 days 00:01:42.790002,tanh,64,0.182447813247975,0.04527998045643268,0.9075965781567334,0.9581358834243054,0.00015957537123997625,0.4325099975259182,10,10,tiny,0.11172353801640994,0.4867616351487342,COMPLETE
28,28,-17033.258373800003,2025-02-13 07:25:58.641216,2025-02-13 07:26:48.150278,0 days 00:00:49.509062,relu,64,0.15740524554847737,0.019133510330337618,0.9441673814746052,0.978228043056708,0.0003981890248019283,0.7299252601111152,9,10,small,0.13350588174208516,0.38274464534501607,COMPLETE
29,29,532.8997957,2025-02-13 07:26:48.152416,2025-02-13 07:27:49.510709,0 days 00:01:01.358293,tanh,512,0.16913773996680254,0.0016981444257355726,0.9571364449517659,0.9704459982997515,6.126977400915721e-05,0.49285267547358036,12,10,tiny,0.11661594783097282,0.44944107822450974,COMPLETE
30,30,347.56300109999995,2025-02-13 07:27:49.512419,2025-02-13 07:29:02.897849,0 days 00:01:13.385430,tanh,256,0.19051149894205202,0.1160379550543095,0.9012329069083984,0.9627278158089094,0.00026733493881392177,0.22982761289288267,11,12,tiny,0.09099783134212448,0.3030337058512592,COMPLETE
31,31,617.5910005,2025-02-13 07:29:02.899820,2025-02-13 07:29:59.973350,0 days 00:00:57.073530,tanh,1024,0.2121610091758408,0.003443701102666749,0.9197870461233568,0.9752956548012087,8.41909695316096e-05,0.9123468719634764,9,11,tiny,0.03683283591193189,0.4015919531161061,COMPLETE
